brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
BMW,limited_model,2019,3.0,,automatic,Gasoline,white,19069,None reported,69998
Cadillac,limited_model,2023,2.0,4Cyl,automatic,Gasoline,white,6090,None reported,46900
Other,Air Grand Touring,2022,0.0,,automatic,,red,4900,None reported,99000
Audi,A5 2.0T Premium Plus,2019,2.0,4Cyl,automatic,Gasoline,black,47523,None reported,31000
Other,limited_model,2006,6.1,V8,automatic,Gasoline,silver,43000,Damage reported,19995
Other,Continental GT W12,2017,6.0,12Cyl,8-speed auto,Gasoline,white,14684,None reported,130000
BMW,M4 Base,2019,3.0,I6,automatic,Gasoline,black,57800,None reported,55999
Toyota,limited_model,2023,1.6,3Cyl,6-speed manual,Gasoline,silver,952,None reported,49950
Audi,RS 5 2.9T,2019,2.9,V6,8-speed auto,Gasoline,black,21240,Damage reported,59950
Porsche,Cayenne Base,2019,3.0,V6,automatic,Gasoline,black,59338,None reported,42499
Other,Huracan Tecnica Coupe,2023,5.2,V10,automatic,Gasoline,N/A,255,None reported,359991
Other,Quattroporte S,2019,3.0,V6,8-speed auto,Gasoline,black,23230,None reported,44999
Other,limited_model,2017,3.0,V6,automatic,Gasoline,red,48000,Damage reported,30000
Lexus,limited_model,2005,3.3,V6,automatic,Gasoline,white,41059,None reported,11100
Land Rover,Discovery Sport SE R-Dynamic,2020,2.0,,automatic,Gasoline,white,21240,None reported,37998
Porsche,limited_model,2015,3.4,H6,7-speed auto,Gasoline,silver,11500,None reported,72000
Other,limited_model,2021,3.3,V6,8-speed auto,Gasoline,silver,9950,None reported,53950
Volkswagen,limited_model,2023,2.0,4Cyl,6-speed manual,Gasoline,white,633,None reported,47999
Hyundai,Sonata Hybrid Limited,2015,2.4,4Cyl,automatic,Hybrid,white,66000,Damage reported,15900
Audi,RS 7 4.0T Prestige,2014,4.0,V8,automatic,Gasoline,grey,59715,Damage reported,45000
BMW,limited_model,2012,3.0,I6,6-speed auto,Gasoline,black,85252,None reported,18500
Mercedes-Benz,GLS 450 Base 4MATIC,2020,3.0,I6,9-speed auto,Hybrid,black,17900,Damage reported,80000
BMW,M6 Base,2016,4.4,V8,7-speed auto,Gasoline,white,25500,None reported,55000
Subaru,limited_model,2004,2.5,4Cyl,6-speed manual,Gasoline,N/A,210703,,2300
Hyundai,Elantra N Base,2023,2.0,4Cyl,6-speed manual,Gasoline,white,3800,None reported,34000
