brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Land Rover,Range Rover Velar SVAutobiography Dynamic Edition,2020,,V8,automatic,Gasoline,black,59355,None reported,72995
Chevrolet,Bolt EUV Premier,2022,0.0,,automatic,,red,31000,None reported,36000
BMW,M240 i,2019,3.0,I6,8-speed auto,Gasoline,white,19300,None reported,36000
Cadillac,Escalade EXT Base,2009,6.2,V8,6-speed auto,E85 Flex Fuel,red,155000,Damage reported,16900
Other,limited_model,2010,2.4,4Cyl,automatic,Gasoline,grey,120010,Damage reported,6500
Kia,Optima EX,2012,2.4,4Cyl,6-speed auto,Gasoline,white,152520,None reported,10900
Honda,Civic EX,1993,,,automatic,Gasoline,white,58981,None reported,9599
Porsche,Panamera Turbo,2015,4.8,V8,automatic,Gasoline,black,47000,None reported,50000
Other,G70 2.0T,2023,2.0,4Cyl,8-speed auto,Gasoline,N/A,2046,None reported,43499
Chevrolet,Trailblazer LS,2021,1.2,3Cyl,automatic,Gasoline,black,24965,Damage reported,22995
Toyota,Camry LE,2005,2.4,4Cyl,automatic,Gasoline,N/A,108000,None reported,7850
Toyota,limited_model,2015,3.5,V6,automatic,Gasoline,red,76000,None reported,18300
Porsche,911 Carrera S,2014,3.8,H6,7-speed auto,Gasoline,black,30000,None reported,78500
Other,limited_model,2015,3.0,I6,6-speed auto,Gasoline,blue,59271,None reported,29900
Lexus,limited_model,2023,3.4,V6,10-speed auto,Gasoline,grey,1500,,119500
BMW,330e iPerformance,2017,2.0,4Cyl,automatic,Hybrid,blue,52500,Damage reported,24950
Tesla,Model Y Long Range,2020,0.0,,automatic,,blue,23100,None reported,36495
Other,limited_model,2017,1.4,4Cyl,6-speed manual,Gasoline,grey,45000,Damage reported,22500
Dodge,limited_model,2002,5.9,V8,automatic,Gasoline,black,179000,Damage reported,6500
Toyota,limited_model,2023,3.0,I6,6-speed manual,Gasoline,grey,1500,None reported,84900
BMW,X7 xDrive40i,2022,3.0,,automatic,Hybrid,grey,38671,None reported,66998
Jeep,Wrangler Unlimited X,2007,3.8,V6,automatic,Gasoline,black,135465,None reported,15750
Other,Countryman Cooper S ALL4,2014,1.6,4Cyl,automatic,Gasoline,white,79000,None reported,17000
Nissan,Maxima SV,2012,3.5,V6,automatic,Gasoline,black,42259,Damage reported,17000
Toyota,Camry Solara SLE V6,2006,3.3,V6,automatic,Gasoline,blue,159890,Damage reported,6500
Other,Grecale Modena,2023,2.0,4Cyl,automatic,Hybrid,black,2200,None reported,75000
Lexus,RX 450h Base,2022,3.5,V6,automatic,Hybrid,white,15833,None reported,52000
BMW,328 i xDrive,2013,2.0,4Cyl,automatic,Gasoline,black,96000,Damage reported,13500
BMW,135 i,2009,3.0,I6,6-speed auto,Gasoline,grey,72900,None reported,15500
BMW,limited_model,2021,4.4,,automatic,Gasoline,grey,7121,None reported,94998
Hyundai,limited_model,2023,1.6,4Cyl,automatic,Hybrid,white,3402,None reported,44000
Other,limited_model,2013,2.5,5Cyl,automatic,Gasoline,silver,73000,None reported,13900
Other,Revero Base,2018,2.0,,automatic,,white,21000,None reported,51000
BMW,X7 xDrive40i,2021,3.0,,automatic,Hybrid,blue,30309,None reported,63598
Ford,limited_model,2021,0.0,,automatic,,white,24000,None reported,38000
BMW,740 i,2016,3.0,I6,automatic,Gasoline,black,73000,None reported,23999
Ford,Edge SEL,2019,2.0,4Cyl,8-speed auto,Gasoline,white,26465,None reported,24998
Volkswagen,limited_model,2020,2.0,4Cyl,8-speed auto,Gasoline,black,26870,Damage reported,34645
Honda,limited_model,2004,3.5,V6,automatic,Gasoline,blue,184000,Damage reported,10500
BMW,limited_model,2022,4.4,,automatic,Gasoline,grey,4514,None reported,132998
RAM,2500 Tradesman,2022,6.4,V8,8-speed auto,Gasoline,red,1300,None reported,48000
Jeep,Grand Cherokee Limited,2018,3.6,V6,8-speed auto,Gasoline,white,49924,None reported,26500
GMC,Yukon Denali,2019,6.2,V8,10-speed auto,Gasoline,red,36526,None reported,57850
BMW,M6 Base,2015,4.4,V8,automatic,Gasoline,silver,37000,None reported,45950
Acura,limited_model,2017,3.5,V6,9-speed auto,Gasoline,grey,79884,Damage reported,24840
Volkswagen,limited_model,2016,1.8,4Cyl,automatic,Gasoline,blue,30000,Damage reported,19000
BMW,X6 M Base,2021,4.4,V8,8-speed auto,Gasoline,black,11102,None reported,101000
Ford,Mustang GT Premium,2012,5.0,V8,6-speed manual,Gasoline,silver,105500,None reported,19000
BMW,limited_model,2019,4.4,,automatic,Gasoline,black,31157,None reported,65998
Kia,limited_model,2019,3.3,V6,8-speed auto,Gasoline,silver,86204,Damage reported,20708
BMW,435 i,2014,3.0,I6,automatic,Gasoline,grey,80211,Damage reported,17995
Other,V8 Vantage Base,2010,4.7,V8,6-speed auto,Gasoline,silver,25991,None reported,69995
Mercedes-Benz,CLK-Class CLK 350,2008,3.5,V6,7-speed auto,Gasoline,black,73000,None reported,8400
BMW,740 i,2018,3.0,I6,8-speed auto,Gasoline,black,40989,None reported,35000
Dodge,limited_model,2010,2.0,4Cyl,6-speed manual,Gasoline,red,102681,None reported,6000
Acura,ZDX Base,2010,3.7,V6,automatic,Gasoline,black,123000,Damage reported,13888
Jeep,Wrangler X,2005,4.0,I6,automatic,Gasoline,black,160900,Damage reported,7200
BMW,M3 Base,2011,4.0,V8,6-speed manual,Gasoline,silver,105000,Damage reported,21900
Kia,limited_model,2023,1.6,4Cyl,automatic,Hybrid,black,1340,None reported,41000
Ford,Mustang Mach-E Premium,2021,0.0,,automatic,,red,17850,None reported,41999
BMW,M3 Base,2011,4.0,V8,automatic,Gasoline,grey,72277,None reported,34950
Jeep,Wrangler Rubicon,2023,3.6,V6,8-speed auto,Hybrid,grey,7000,None reported,46000
Porsche,limited_model,2022,2.9,V6,8-speed auto,Gasoline,N/A,10627,None reported,99000
Ford,Explorer XLT,2020,2.3,4Cyl,10-speed auto,Gasoline,white,67015,None reported,28590
BMW,M4 Base,2018,3.0,I6,7-speed auto,Gasoline,black,19600,Damage reported,62000
Ford,Mustang Mach-E Premium,2022,0.0,,automatic,,white,5800,None reported,42500
Other,limited_model,2017,0.0,,automatic,,silver,33812,None reported,14999
Cadillac,Escalade Luxury,2015,6.2,V8,8-speed auto,Gasoline,black,99897,None reported,26950
Mercedes-Benz,SL-Class SL 550,2014,4.7,V8,automatic,Gasoline,white,127500,None reported,29000
Ford,Expedition Limited,2021,3.5,V6,10-speed auto,Gasoline,grey,23842,None reported,59203
Other,R1S Adventure Package,2023,0.0,,automatic,,silver,2108,None reported,91000
BMW,M6 Base,2014,4.4,V8,automatic,Gasoline,black,65550,None reported,39985
Other,Huracan LP580-2,2017,5.2,V10,automatic,Gasoline,white,22000,None reported,210000
Ford,Bronco Wildtrak Advanced,2022,2.7,V6,automatic,Gasoline,grey,15600,Damage reported,68995
Lexus,LC 500 Base,2021,5.0,V8,automatic,Gasoline,white,22400,None reported,81900
Lexus,LS 460 Crafted Line,2015,4.6,V8,automatic,Gasoline,white,89150,None reported,31900
BMW,M4 Base,2023,3.0,I6,8-speed auto,Gasoline,blue,15000,None reported,81000
Audi,A3 2.0T Tech Premium,2018,2.0,4Cyl,6-speed auto,Gasoline,blue,49500,None reported,25000
Audi,limited_model,2003,4.2,V8,automatic,Gasoline,grey,126000,,13850
Volkswagen,limited_model,2015,2.0,4Cyl,6-speed manual,Gasoline,grey,85385,None reported,15550
Cadillac,Escalade Sport,2023,3.0,I6,automatic,Diesel,white,3000,None reported,123999
Hyundai,Tucson SE,2018,2.0,4Cyl,6-speed auto,Gasoline,white,66126,None reported,19190
Toyota,GR86 Premium,2023,2.4,4Cyl,6-speed manual,Gasoline,white,1075,None reported,35000
Ford,limited_model,2023,3.0,V6,10-speed auto,Gasoline,white,2489,None reported,98900
Hyundai,Santa Fe SEL,2021,2.5,4Cyl,8-speed auto,Gasoline,black,25000,None reported,28500
Nissan,Armada Platinum,2017,5.6,V8,7-speed auto,Gasoline,black,92000,None reported,20900
Lexus,GX 470 Base,2008,4.7,V8,automatic,Gasoline,white,123500,Damage reported,14500
Cadillac,limited_model,2013,3.6,V6,6-speed auto,Gasoline,black,105000,Damage reported,12000
Audi,limited_model,2008,4.2,V8,6-speed manual,Gasoline,black,49000,None reported,63000
Other,F-PACE S,2020,3.0,,automatic,Gasoline,black,28357,None reported,47598
Chevrolet,Silverado 1500 1LT,2018,4.3,V6,automatic,E85 Flex Fuel,red,81000,None reported,32000
Ford,Expedition Limited,2021,3.5,V6,automatic,Gasoline,grey,45000,None reported,52000
Toyota,Sequoia Platinum,2011,5.7,V8,6-speed auto,E85 Flex Fuel,black,173456,Damage reported,16000
BMW,limited_model,2021,3.0,I6,8-speed auto,Hybrid,black,13700,,60000
Audi,A8 L 55,2019,3.0,V6,automatic,Hybrid,silver,93400,None reported,42500
Toyota,limited_model,2015,3.5,V6,6-speed auto,Gasoline,white,90000,None reported,18200
Porsche,Macan Base,2017,2.0,4Cyl,7-speed auto,Gasoline,grey,40600,None reported,32000
Lexus,IS 350 F Sport,2023,3.5,V6,8-speed auto,Gasoline,grey,20121,None reported,47124
Mercedes-Benz,Metris Base,2020,2.0,4Cyl,7-speed auto,Gasoline,black,3921,None reported,175000
Lexus,RX 350 Base,2011,3.5,V6,automatic,Gasoline,silver,187450,Damage reported,10400
Toyota,limited_model,2021,3.0,I6,automatic,Gasoline,grey,6400,None reported,68000
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,3.0,V6,9-speed auto,Gasoline,white,54500,None reported,37995
BMW,X6 xDrive50i,2017,4.4,V8,8-speed auto,Gasoline,red,78500,Damage reported,42000
Chevrolet,Tahoe LT,2018,5.3,V8,6-speed auto,Gasoline,silver,75000,None reported,36000
Ford,limited_model,2014,6.2,V8,automatic,Gasoline,red,89988,Damage reported,42500
Subaru,limited_model,2005,3.0,H6,automatic,Gasoline,N/A,107000,None reported,7100
Other,Romeo Giulia Ti,2019,2.0,4Cyl,8-speed auto,Gasoline,white,21400,None reported,28500
Mazda,limited_model,2007,2.3,4Cyl,6-speed auto,Gasoline,white,83150,None reported,6950
Ford,F-150 Platinum,2018,3.0,V6,10-speed auto,Diesel,black,92000,Damage reported,36500
Mercedes-Benz,GLE 350 Base 4MATIC,2021,2.0,4Cyl,9-speed auto,Gasoline,grey,15042,None reported,54599
Audi,A7 3.0T Premium Plus,2017,3.0,V6,automatic,Gasoline,black,39000,Damage reported,35000
RAM,2500 Laramie,2017,6.4,V8,6-speed auto,Gasoline,N/A,67483,Damage reported,46500
Tesla,limited_model,2015,0.0,,automatic,,black,62089,None reported,29975
Audi,limited_model,2017,4.0,V8,8-speed auto,Gasoline,black,54300,None reported,53500
Hyundai,Sonata Hybrid Limited,2022,2.0,4Cyl,automatic,Hybrid,grey,30565,None reported,29000
Audi,limited_model,2016,4.0,V8,8-speed auto,Gasoline,black,142666,Damage reported,22000
Ford,limited_model,2009,4.0,V6,automatic,Gasoline,blue,166200,Damage reported,6999
INFINITI,limited_model,2015,3.5,V6,7-speed auto,Hybrid,grey,88977,Damage reported,19977
BMW,M3 Base,2011,4.0,V8,automatic,Gasoline,white,114890,None reported,20990
Mercedes-Benz,E-Class E 350 4MATIC,2009,3.5,V6,automatic,Gasoline,black,171000,Damage reported,4750
Ford,limited_model,2019,3.5,V6,6-speed auto,Gasoline,black,90067,None reported,28590
Chevrolet,Camaro 1LT,2014,3.6,V6,automatic,Gasoline,black,97579,Damage reported,15000
Mazda,limited_model,2017,2.0,4Cyl,6-speed manual,Gasoline,black,52000,Damage reported,20500
Jeep,Grand Cherokee L Limited,2021,3.6,V6,8-speed auto,Gasoline,N/A,25968,None reported,38405
Other,Hardtop Cooper S,2016,2.0,4Cyl,6-speed auto,Gasoline,silver,41680,None reported,17495
Other,limited_model,2002,2.0,4Cyl,6-speed manual,Gasoline,black,77200,None reported,7500
BMW,X5 xDrive40i,2019,3.0,I6,8-speed auto,Gasoline,blue,50000,None reported,43000
Porsche,Macan,2021,2.0,,automatic,Gasoline,white,21613,None reported,58998
Audi,limited_model,2022,2.0,,automatic,Gasoline,white,17377,None reported,39998
GMC,Acadia SLE,2020,2.5,4Cyl,9-speed auto,Gasoline,N/A,30426,,29645
Audi,limited_model,2005,2.7,V6,6-speed manual,Gasoline,blue,153000,Damage reported,6500
Other,Marauder Base,2004,4.6,V8,automatic,Gasoline,silver,56600,None reported,23000
Hyundai,Genesis 3.8,2015,3.8,V6,8-speed auto,Gasoline,white,116612,Damage reported,12700
Audi,SQ5 3.0T Premium Plus,2018,3.0,V6,automatic,Gasoline,blue,72000,Damage reported,30000
Audi,A8 L 55,2019,3.0,V6,8-speed auto,Hybrid,black,39000,None reported,50000
Other,Navigator Base,2008,5.4,V8,automatic,Gasoline,N/A,149000,None reported,10099
BMW,M4 Base,2018,3.0,I6,6-speed manual,Gasoline,white,19300,None reported,64000
Mazda,limited_model,2021,2.5,4Cyl,6-speed auto,Gasoline,grey,27836,None reported,36969
Chevrolet,Corvette Stingray w/1LT,2023,6.2,V8,automatic,Gasoline,black,3273,None reported,78999
Ford,F-150 Lariat,2017,3.5,V6,10-speed auto,Gasoline,white,74349,None reported,36000
Ford,F-250 Lariat,2019,6.7,V8,6-speed auto,Diesel,white,85000,Damage reported,55000
Other,Roma Base,2022,3.9,V8,8-speed auto,Gasoline,grey,2250,None reported,259500
Mercedes-Benz,GLS 450 Base 4MATIC,2017,3.0,V6,9-speed auto,Gasoline,black,46100,Damage reported,33000
Hyundai,limited_model,2019,2.4,4Cyl,8-speed auto,Gasoline,silver,49500,None reported,28000
Mercedes-Benz,E-Class E 350,2012,3.5,V6,7-speed auto,Gasoline,black,31130,None reported,23500
Ford,limited_model,2008,6.4,V8,automatic,Diesel,blue,149460,Damage reported,12240
Other,Marauder Base,2003,4.6,V8,automatic,Gasoline,blue,90000,Damage reported,15500
Ford,Transit-350 XLT,2021,3.5,V6,automatic,E85 Flex Fuel,white,48000,None reported,57000
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,3.5,V6,automatic,Gasoline,white,98000,Damage reported,15500
Volkswagen,limited_model,2022,2.0,,automatic,Gasoline,white,18655,None reported,38698
Chevrolet,limited_model,2006,8.1,V8,automatic,Gasoline,N/A,60000,Damage reported,24950
Chevrolet,Suburban 1500 LT,2014,5.3,V8,automatic,E85 Flex Fuel,N/A,169500,None reported,15000
Other,limited_model,2008,2.4,4Cyl,6-speed manual,Gasoline,red,189500,None reported,6000
Toyota,Land Cruiser Base,2016,5.7,V8,automatic,Gasoline,black,91000,None reported,68500
Other,limited_model,2022,2.5,4Cyl,8-speed auto,Gasoline,black,7396,None reported,41299
Toyota,Tundra SR5 Access Cab,2004,4.7,V8,automatic,Gasoline,grey,229450,None reported,8250
Other,limited_model,2023,3.0,V6,8-speed auto,Gasoline,N/A,8603,None reported,125900
Audi,RS 5 4.2,2014,4.2,V8,automatic,Gasoline,white,49098,Damage reported,44900
Nissan,limited_model,2022,1.5,3Cyl,automatic,Gasoline,N/A,21212,None reported,28906
Porsche,Panamera 4S,2010,4.8,V8,automatic,Gasoline,silver,62743,None reported,28600
BMW,limited_model,2021,3.0,I6,8-speed auto,Hybrid,grey,24300,None reported,49999
Cadillac,Escalade Premium,2010,6.2,V8,automatic,E85 Flex Fuel,grey,104000,None reported,19500
Other,limited_model,2020,2.0,4Cyl,8-speed auto,Gasoline,white,46250,Damage reported,27800
Mazda,limited_model,2023,2.5,4Cyl,6-speed auto,Gasoline,black,1930,Damage reported,40655
Other,limited_model,2022,3.6,V6,automatic,Hybrid,white,61494,None reported,35850
Jeep,Wrangler Unlimited Sport,2020,2.0,4Cyl,8-speed auto,Gasoline,black,24040,None reported,35273
Toyota,limited_model,2001,3.0,V6,automatic,Gasoline,N/A,231581,None reported,4300
Ford,F-150 Lariat,2019,3.5,V6,10-speed auto,Gasoline,grey,81000,None reported,38500
Land Rover,limited_model,2022,2.0,,automatic,Gasoline,red,23568,None reported,44998
Mazda,Mazda6 Touring,2020,2.5,4Cyl,automatic,Gasoline,white,78700,None reported,18000
Kia,Optima EX,2015,2.4,4Cyl,6-speed auto,Gasoline,red,109580,Damage reported,11900
Lexus,RX 350 Base,2009,3.5,V6,automatic,Gasoline,grey,178000,Damage reported,4500
Other,limited_model,2016,2.4,4Cyl,automatic,Gasoline,black,131193,None reported,11970
Mercedes-Benz,GLS 450 Base 4MATIC,2017,3.0,V6,9-speed auto,Gasoline,white,106000,None reported,25900
Audi,A3 2.0T Premium,2019,2.0,4Cyl,automatic,Gasoline,grey,28211,Damage reported,27500
Audi,A4 2.0T Premium,2015,2.0,4Cyl,8-speed auto,E85 Flex Fuel,silver,91403,None reported,14998
Mercedes-Benz,CLA-Class CLA 250,2016,2.0,4Cyl,automatic,Gasoline,black,88600,Damage reported,16800
INFINITI,FX50 Base,2011,5.0,V8,7-speed auto,Gasoline,silver,84900,,22450
Kia,K5 EX,2021,1.6,4Cyl,8-speed auto,Gasoline,white,11154,None reported,28998
BMW,limited_model,2018,2.0,4Cyl,8-speed auto,Hybrid,grey,45090,Damage reported,30750
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,2.3,4Cyl,automatic,Gasoline,red,33272,Damage reported,11900
Jeep,Wrangler SE,2003,2.4,4Cyl,6-speed manual,Gasoline,red,71000,None reported,12499
Kia,Telluride SX,2020,3.8,V6,8-speed auto,Gasoline,N/A,55400,,36500
Land Rover,limited_model,2012,5.0,V8,automatic,Gasoline,black,141525,None reported,14490
Other,limited_model,2007,4.2,V8,automatic,Gasoline,black,50000,Damage reported,21900
BMW,M4 Base,2020,3.0,I6,6-speed manual,Gasoline,N/A,29140,None reported,71995
BMW,M340 i xDrive,2022,3.0,I6,8-speed auto,Hybrid,white,9000,None reported,56900
Mercedes-Benz,limited_model,2021,3.0,,automatic,Hybrid,white,5595,None reported,83598
RAM,1500 Laramie,2022,5.7,V8,automatic,Gasoline,N/A,34121,None reported,48190
BMW,ALPINA B7 Base,2013,4.4,V8,automatic,Gasoline,black,36750,None reported,35999
Mercedes-Benz,limited_model,2007,3.0,V6,automatic,Gasoline,white,49626,None reported,12000
Jeep,limited_model,2017,2.4,4Cyl,automatic,Gasoline,white,45000,Damage reported,16500
Toyota,limited_model,2019,3.5,V6,automatic,Hybrid,black,69350,None reported,36000
BMW,X5 M Base,2022,4.4,V8,8-speed auto,Gasoline,blue,8307,None reported,98900
BMW,M3 Base,2023,3.0,I6,6-speed manual,Gasoline,N/A,4106,None reported,84645
BMW,M3 Base,1999,3.2,I6,6-speed manual,Gasoline,blue,184700,None reported,36950
Other,limited_model,2018,3.0,V6,8-speed auto,Gasoline,white,57500,None reported,41900
Acura,limited_model,2021,2.0,4Cyl,10-speed auto,Gasoline,black,29000,None reported,39650
Mercedes-Benz,limited_model,2015,2.0,4Cyl,automatic,Gasoline,grey,61675,Damage reported,19000
Mercedes-Benz,limited_model,2021,3.0,V6,7-speed auto,Diesel,white,33300,None reported,45000
Cadillac,XTS Luxury,2014,3.6,V6,6-speed auto,Gasoline,silver,62950,Damage reported,17498
Chevrolet,Camaro 2LT,2015,3.6,V6,automatic,Gasoline,silver,56675,None reported,19750
Porsche,Cayenne S,2013,4.8,V8,8-speed auto,Gasoline,N/A,92000,None reported,23000
Dodge,limited_model,2005,5.7,V8,automatic,Gasoline,grey,96000,Damage reported,12000
INFINITI,limited_model,2014,3.7,V6,7-speed auto,Gasoline,black,33500,None reported,23000
Land Rover,limited_model,2020,5.0,V8,8-speed auto,Gasoline,white,16754,None reported,112000
Toyota,Camry Hybrid Base,2007,2.4,4Cyl,automatic,Hybrid,silver,53249,Damage reported,9250
GMC,Acadia SLT-1,2016,3.6,V6,automatic,Gasoline,N/A,119000,None reported,12500
Other,limited_model,2021,2.0,4Cyl,8-speed auto,Gasoline,black,29336,None reported,36999
RAM,2500 SLT,2017,6.7,I6,6-speed auto,Diesel,grey,86000,Damage reported,41000
RAM,3500 Laramie,2014,6.7,I6,6-speed auto,Diesel,black,177000,Damage reported,40500
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,4.6,V8,automatic,Gasoline,black,93500,Damage reported,15900
BMW,M5 Base,2018,4.4,V8,8-speed auto,Gasoline,red,47700,Damage reported,54999
Ford,Mustang SVT Cobra,2003,4.6,V8,6-speed manual,Gasoline,grey,97496,,24500
Acura,ILX Premium Package,2022,2.4,4Cyl,8-speed auto,Gasoline,grey,16120,None reported,26599
Other,limited_model,2005,4.2,I6,automatic,Gasoline,white,147589,Damage reported,2800
Cadillac,Escalade Luxury,2013,6.2,V8,automatic,E85 Flex Fuel,black,95570,Damage reported,22000
Mercedes-Benz,S-Class S 560,2018,4.0,V8,9-speed auto,Gasoline,grey,45791,None reported,52000
INFINITI,QX80 Base,2016,5.6,V8,7-speed auto,Gasoline,silver,60000,Damage reported,25950
Other,limited_model,2019,1.4,4Cyl,6-speed auto,Gasoline,white,50000,None reported,18795
Mercedes-Benz,GLS 450 Base 4MATIC,2019,3.0,V6,9-speed auto,Gasoline,black,33481,None reported,43999
Jeep,limited_model,2010,3.7,V6,automatic,Gasoline,grey,107000,None reported,5900
Mercedes-Benz,S-Class S 63 AMG,2011,5.5,V8,automatic,Gasoline,white,60000,Damage reported,37000
Audi,limited_model,2016,3.0,V6,automatic,Gasoline,white,55000,None reported,28000
Mazda,limited_model,2022,2.5,4Cyl,6-speed auto,Gasoline,black,4004,None reported,25500
Other,Continental GT Speed,2009,6.0,12Cyl,6-speed auto,Gasoline,blue,57800,,59400
Other,Continental GT V8,2022,4.0,V8,8-speed auto,Gasoline,red,10972,None reported,217950
Other,limited_model,2022,4.0,V8,8-speed auto,Gasoline,N/A,27858,None reported,197750
Porsche,911 Carrera 4S,2018,3.0,,automatic,Gasoline,silver,31678,None reported,106798
Volkswagen,Golf R 4-Door,2016,2.0,4Cyl,6-speed manual,Gasoline,blue,47144,None reported,29950
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,3.8,V6,6-speed auto,Gasoline,grey,165454,Damage reported,4000
Ford,F-150 XLT,2018,3.5,V6,10-speed auto,Gasoline,white,98000,Damage reported,25500
Hyundai,Tucson Limited,2020,2.4,4Cyl,6-speed auto,Gasoline,black,39913,None reported,22749
Ford,Mustang V6,2013,3.7,V6,6-speed auto,Gasoline,blue,147191,Damage reported,12990
BMW,435 i,2014,3.0,I6,8-speed auto,Gasoline,silver,53600,None reported,25980
Dodge,Challenger R/T,2010,,,automatic,Gasoline,N/A,100100,None reported,17000
Mercedes-Benz,AMG G 63 Base,2020,4.0,V8,9-speed auto,Gasoline,blue,1750,None reported,199995
Dodge,Challenger SRT Hellcat,2020,6.2,V8,8-speed auto,Gasoline,N/A,2750,None reported,104500
Porsche,Boxster Base,2013,2.7,H6,7-speed auto,Gasoline,N/A,40800,None reported,35500
Porsche,Macan Base,2018,2.0,4Cyl,7-speed auto,Gasoline,grey,36798,Damage reported,49500
Ford,F-250 XL,2021,6.7,V8,automatic,Diesel,white,77699,,49883
Ford,Mustang GT,2010,4.6,V8,automatic,Gasoline,red,87500,Damage reported,14900
Chevrolet,Suburban LT,2020,5.3,V8,automatic,Gasoline,black,93000,None reported,38500
Mercedes-Benz,C-Class C 300 4MATIC,2018,2.0,4Cyl,9-speed auto,Gasoline,black,41515,None reported,28251
RAM,1500 Classic Warlock,2019,3.6,V6,8-speed auto,E85 Flex Fuel,black,19000,Damage reported,33242
Toyota,Sequoia SR5,2023,3.4,V6,automatic,Hybrid,N/A,1539,Damage reported,76373
BMW,M5 Base,2018,4.4,V8,8-speed auto,Gasoline,N/A,31090,Damage reported,68000
Mazda,limited_model,2022,2.5,4Cyl,6-speed auto,Gasoline,red,21701,None reported,25099
Nissan,Rogue SL,2016,2.5,4Cyl,automatic,Gasoline,N/A,97726,Damage reported,15998
Audi,A7 3.0T Prestige,2015,3.0,V6,8-speed auto,Diesel,white,73000,None reported,34000
Other,G80 3.8,2020,3.8,V6,automatic,Gasoline,blue,23600,None reported,31900
Other,Ghost Base,2016,6.6,12Cyl,automatic,Gasoline,black,8755,None reported,166900
BMW,M6 Gran Coupe Base,2019,4.4,V8,automatic,Gasoline,blue,20500,None reported,67900
Ford,Mustang V6,2013,3.7,V6,6-speed manual,Gasoline,black,57912,Damage reported,18750
BMW,650 i,2009,4.8,V8,automatic,Gasoline,black,35000,None reported,18500
Nissan,Leaf SV PLUS,2023,0.0,,automatic,,black,7089,Damage reported,29895
Other,MKC Reserve,2019,2.3,4Cyl,6-speed auto,Gasoline,black,35469,,30890
Kia,Telluride EX,2022,3.8,V6,8-speed auto,Gasoline,N/A,14676,None reported,46787
Other,Navigator Reserve,2022,3.5,V6,10-speed auto,Gasoline,white,13750,None reported,79999
Mercedes-Benz,S-Class S 550 4MATIC,2015,4.7,V8,automatic,Gasoline,black,13300,None reported,62500
Chevrolet,Suburban LT,2017,6.0,V8,6-speed auto,Gasoline,blue,117000,None reported,27000
Audi,limited_model,2020,3.0,V6,automatic,Hybrid,white,27100,None reported,50000
Ford,Mustang EcoBoost Premium,2017,2.3,4Cyl,6-speed auto,Gasoline,white,89352,Damage reported,20989
Chevrolet,Cruze LS,2018,1.4,4Cyl,automatic,Gasoline,white,100000,Damage reported,8500
Land Rover,Range Rover HSE SWB,2020,3.0,I6,automatic,Hybrid,silver,16000,None reported,75500
Land Rover,Defender S,2023,2.0,4Cyl,automatic,Gasoline,white,15200,None reported,62999
BMW,650 i,2012,4.4,V8,6-speed manual,Gasoline,white,39960,None reported,38995
Ford,Mustang Base,2008,4.0,V6,automatic,Gasoline,white,119000,Damage reported,13500
Kia,K5 GT-Line,2022,1.6,4Cyl,8-speed auto,Gasoline,red,10971,None reported,29998
Mazda,Mazda3 i Touring,2014,2.0,4Cyl,6-speed manual,Gasoline,silver,118500,Damage reported,11500
Kia,Stinger GT1,2021,3.3,V6,8-speed auto,Gasoline,black,8288,None reported,45899
Chevrolet,Camaro ZL1,2023,6.2,V8,10-speed auto,Gasoline,red,2950,None reported,74500
Mercedes-Benz,AMG G 63 Base,2017,5.5,V8,7-speed auto,Gasoline,white,73000,Damage reported,78000
Ford,limited_model,2005,3.9,V8,automatic,Gasoline,N/A,82000,None reported,14900
Audi,e-tron Prestige,2019,0.0,,automatic,,grey,7874,None reported,38999
GMC,Sierra 1500 SLT,2017,6.2,V8,8-speed auto,Gasoline,white,49105,None reported,39750
Kia,limited_model,2023,3.8,V6,8-speed auto,Gasoline,silver,5500,None reported,40000
Chevrolet,Corvette Base,2005,6.0,V8,6-speed manual,Gasoline,blue,36700,None reported,26000
BMW,650 i,2014,4.4,V8,automatic,Gasoline,white,40000,None reported,34000
Nissan,Rogue SL,2017,2.5,4Cyl,automatic,Gasoline,silver,78110,,17500
GMC,Acadia Denali,2015,3.6,V6,automatic,Gasoline,grey,74864,None reported,19780
Cadillac,Escalade Premium Luxury Platinum,2021,6.2,V8,10-speed auto,Gasoline,black,15350,None reported,93500
Nissan,GT-R Premium,2010,3.8,V6,6-speed auto,Gasoline,blue,46100,None reported,72999
Toyota,Highlander XLE,2018,3.5,V6,automatic,Gasoline,silver,61454,None reported,31000
BMW,X7 xDrive40i,2020,3.0,I6,automatic,Gasoline,blue,45241,None reported,54500
INFINITI,QX60 Base,2018,3.5,V6,automatic,Gasoline,black,48000,None reported,27000
Lexus,limited_model,2010,2.5,V6,6-speed manual,Gasoline,black,68500,None reported,18500
GMC,Sierra 1500 Denali,2019,5.3,V8,automatic,Gasoline,black,43433,None reported,51899
Chevrolet,SSR Base,2005,6.0,V8,automatic,Gasoline,red,122961,None reported,20995
Dodge,Challenger R/T,2014,5.7,V8,automatic,Gasoline,grey,92861,None reported,19750
